cell_id,crs,x_scale,x_shear,x_trans,y_shear,y_scale,y_trans,width,height,file
22691,EPSG:5070,10.0,0.0,360600.0,0.0,-10.0,2771340.0,337,337,rf_class_reviewer_bekka_grid_22691_sample_493_sensor_Sentinel-2_target_2020_opt_2019_2021.tif
22823,EPSG:5070,10.0,0.0,360600.0,0.0,-10.0,2640300.0,337,336,rf_class_reviewer_bekka_grid_22823_sample_464_sensor_Sentinel-2_target_2021_opt_2020_2022.tif
23240,EPSG:5070,10.0,0.0,363960.0,0.0,-10.0,2804950.0,337,337,rf_class_reviewer_bekka_grid_23240_sample_510_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
23753,EPSG:5070,10.0,0.0,367320.0,0.0,-10.0,2411820.0,337,337,rf_class_reviewer_bekka_grid_23753_sample_372_sensor_Sentinel-2_target_2019_opt_2018_2020.tif
24192,EPSG:5070,10.0,0.0,370680.0,0.0,-10.0,2519350.0,337,337,rf_class_reviewer_bekka_grid_24192_sample_329_sensor_Sentinel-2_target_2021_opt_2020_2022.tif
24360,EPSG:5070,10.0,0.0,370680.0,0.0,-10.0,2408460.0,337,336,rf_class_reviewer_bekka_grid_24360_sample_72_sensor_Sentinel-2_target_2019_opt_2018_2020.tif
24381,EPSG:5070,10.0,0.0,374040.0,0.0,-10.0,2395030.0,337,337,rf_class_reviewer_bekka_grid_24381_sample_149_sensor_Sentinel-2_target_2021_opt_2020_2022.tif
25072,EPSG:5070,10.0,0.0,384120.0,0.0,-10.0,2781430.0,337,337,rf_class_reviewer_bekka_grid_25072_sample_45_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
25092,EPSG:5070,10.0,0.0,384120.0,0.0,-10.0,2767980.0,337,337,rf_class_reviewer_bekka_grid_25092_sample_358_sensor_Sentinel-2_target_2020_opt_2019_2021.tif
26752,EPSG:5070,10.0,0.0,404280.0,0.0,-10.0,2801590.0,337,337,rf_class_reviewer_bekka_grid_26752_sample_178_sensor_Sentinel-2_target_2020_opt_2019_2021.tif
26973,EPSG:5070,10.0,0.0,407640.0,0.0,-10.0,2593260.0,337,337,rf_class_reviewer_bekka_grid_26973_sample_359_sensor_Sentinel-2_target_2021_opt_2020_2022.tif
28412,EPSG:5070,10.0,0.0,424440.0,0.0,-10.0,2761260.0,337,337,rf_class_reviewer_mina_grid_28412_sample_56_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
28522,EPSG:5070,10.0,0.0,424440.0,0.0,-10.0,2586540.0,337,337,rf_class_reviewer_bekka_grid_28522_sample_282_sensor_Sentinel-2_target_2019_opt_2018_2020.tif
29142,EPSG:5070,10.0,0.0,431160.0,0.0,-10.0,2485750.0,337,338,rf_class_reviewer_bekka_grid_29142_sample_237_sensor_Sentinel-2_target_2019_opt_2018_2020.tif
29490,EPSG:5070,10.0,0.0,437880.0,0.0,-10.0,2569750.0,337,337,rf_class_reviewer_bekka_grid_29490_sample_239_sensor_Sentinel-2_target_2021_opt_2020_2022.tif
29513,EPSG:5070,10.0,0.0,441240.0,0.0,-10.0,2552950.0,337,337,rf_class_reviewer_bekka_grid_29513_sample_419_sensor_Sentinel-2_target_2021_opt_2020_2022.tif
29781,EPSG:5070,10.0,0.0,441240.0,0.0,-10.0,2374870.0,337,337,rf_class_reviewer_bekka_grid_29781_sample_432_sensor_Sentinel-2_target_2019_opt_2018_2020.tif
30292,EPSG:5070,10.0,0.0,451320.0,0.0,-10.0,2774710.0,337,338,rf_class_reviewer_bekka_grid_30292_sample_225_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
30392,EPSG:5070,10.0,0.0,451320.0,0.0,-10.0,2586540.0,337,337,rf_class_reviewer_bekka_grid_30392_sample_449_sensor_Sentinel-2_target_2021_opt_2020_2022.tif
30591,EPSG:5070,10.0,0.0,454680.0,0.0,-10.0,2455510.0,337,337,rf_class_reviewer_bekka_grid_30591_sample_387_sensor_Sentinel-2_target_2019_opt_2018_2020.tif
