version,W,ref_code,ref_class,map_code,map_class,count
v3,3,3,Forest,7,Grass/Shrub,68399
v3,3,3,Forest,8,Wetland,34000
v3,3,3,Forest,9,Beaver,179217
v3,3,3,Forest,10,Insect/Disease,55553
v3,3,4,Urban,1,Harvest,449
v3,3,4,Urban,2,Development,2286
v3,3,4,Urban,3,Forest,2347
v3,3,4,Urban,4,Urban,43431
v3,3,4,Urban,5,Water,264
v3,3,4,Urban,6,Agriculture,4190
v3,3,4,Urban,7,Grass/Shrub,696
v3,3,4,Urban,8,Wetland,2355
v3,3,4,Urban,9,Beaver,554
v3,3,4,Urban,10,Insect/Disease,187
v3,3,5,Water,1,Harvest,10
v3,3,5,Water,2,Development,277
v3,3,5,Water,3,Forest,1776
v3,3,5,Water,4,Urban,190
v3,3,5,Water,5,Water,150443
v3,3,5,Water,6,Agriculture,61
v3,3,5,Water,7,Grass/Shrub,90
v3,3,5,Water,8,Wetland,3259
v3,3,5,Water,9,Beaver,1593
v3,3,5,Water,10,Insect/Disease,330
v3,3,6,Agriculture,1,Harvest,864
v3,3,6,Agriculture,2,Development,7595
v3,3,6,Agriculture,3,Forest,9431
v3,3,6,Agriculture,4,Urban,24905
v3,3,6,Agriculture,5,Water,270
v3,3,6,Agriculture,6,Agriculture,239649
v3,3,6,Agriculture,7,Grass/Shrub,15248
v3,3,6,Agriculture,8,Wetland,6110
v3,3,6,Agriculture,9,Beaver,120
v3,3,6,Agriculture,10,Insect/Disease,270
