run,version,overall_accuracy,macro_f1,mean_iou,kappa
81,v2,0.655,0.3777,0.2966,0.5276
81,v3,0.6042,0.371,0.2895,0.4809
81,v4,0.5061,0.242,0.1625,0.3172
81,v5,0.5623,0.3594,0.278,0.4394
81,v6,0.1855,0.103,0.0579,0.058
82,v2,0.6557,0.3772,0.2966,0.5287
82,v3,0.6051,0.3707,0.2895,0.4821
82,v4,0.5049,0.2405,0.1615,0.3162
82,v5,0.5635,0.3594,0.2783,0.441
82,v6,0.1865,0.1035,0.0582,0.0594
83,v2,0.6555,0.3793,0.2977,0.5283
83,v3,0.6033,0.371,0.2894,0.4797
83,v4,0.5083,0.2445,0.164,0.3202
83,v5,0.5613,0.3591,0.2778,0.4381
83,v6,0.1861,0.1035,0.0581,0.0587
84,v2,0.6561,0.3765,0.2953,0.5285
84,v3,0.6056,0.3699,0.2883,0.482
84,v4,0.5064,0.2417,0.162,0.3171
84,v5,0.5639,0.3586,0.2769,0.4408
84,v6,0.1866,0.1034,0.0581,0.0592
85,v2,0.653,0.3761,0.2952,0.5252
85,v3,0.6035,0.3698,0.2885,0.48
85,v4,0.5028,0.24,0.161,0.3135
85,v5,0.5617,0.3586,0.2773,0.4387
85,v6,0.1862,0.1036,0.0582,0.0592
86,v2,0.6588,0.3822,0.3004,0.5334
86,v3,0.6075,0.375,0.293,0.4857
86,v4,0.5074,0.245,0.1644,0.32
86,v5,0.5661,0.364,0.2818,0.4446
86,v6,0.1862,0.1039,0.0583,0.059
87,v2,0.659,0.3801,0.2992,0.5325
87,v3,0.6086,0.3738,0.2925,0.4861
87,v4,0.5067,0.2427,0.1629,0.3171
87,v5,0.5664,0.3619,0.2807,0.4441
87,v6,0.1864,0.1036,0.0582,0.0589
88,v2,0.6579,0.3795,0.2987,0.5307
88,v3,0.6078,0.3737,0.2921,0.4848
88,v4,0.509,0.2432,0.1636,0.3196
88,v5,0.5657,0.3623,0.2808,0.443
88,v6,0.1874,0.1041,0.0585,0.0599
89,v2,0.6596,0.3822,0.3008,0.5344
89,v3,0.6088,0.3755,0.2937,0.4873
89,v4,0.507,0.2434,0.1635,0.319
89,v5,0.5667,0.3641,0.2822,0.4454
89,v6,0.1861,0.1038,0.0583,0.0588
90,v2,0.6601,0.3819,0.2995,0.534
90,v3,0.6083,0.3745,0.2919,0.4856
90,v4,0.5087,0.2443,0.1638,0.3201
90,v5,0.5664,0.3629,0.2803,0.444
90,v6,0.1868,0.1035,0.0582,0.0594
91,v2,0.6554,0.3779,0.2967,0.5285
91,v3,0.6052,0.3715,0.2898,0.4824
91,v4,0.5053,0.2411,0.1617,0.3167
91,v5,0.5636,0.3605,0.2788,0.4412
91,v6,0.1862,0.1034,0.0581,0.059
92,v2,0.6569,0.3788,0.2976,0.531
92,v3,0.6064,0.3724,0.2906,0.4844
92,v4,0.506,0.2419,0.1626,0.3185
92,v5,0.5648,0.3616,0.2796,0.4433
92,v6,0.1864,0.1038,0.0583,0.0594
