version,W,n,cls,sd_simple,sd_strat,strat_efficiency
v2,9,2000,Harvest,0.03946,0.02859,0.725
v2,9,2000,Development,0.02055,0.01889,0.919
v2,9,2000,Insect/Disease,0.01463,0.0148,1.012
v2,9,2000,Beaver,0.00432,0.00631,1.461
v2,9,5000,Stable,0.00197,0.00404,2.051
v2,9,5000,Harvest,0.02621,0.01703,0.65
v2,9,5000,Development,0.0104,0.01014,0.975
v2,9,5000,Insect/Disease,0.01022,0.01356,1.326
v2,9,5000,Beaver,0.00253,0.00251,0.991
v3,1,20,Stable,0.06183,0.12642,2.045
v3,1,20,Harvest,,0.17504,
v3,1,20,Development,,0.17422,
v3,1,20,Insect/Disease,,0.20375,
