design,version,W,n,cls,metric,census,mean,sd,bias,frac_undefined
simple,v2,3,100,Harvest,f1,0.0823,0.3385,0.21432,0.25621,0.88
simple,v2,3,100,Development,f1,0.0134,1.0,,0.98657,0.99
simple,v2,3,100,Insect/Disease,f1,0.0195,0.2451,0.23763,0.22554,0.94
simple,v2,3,100,Beaver,f1,0.0038,0.1083,0.0521,0.10447,0.94
strat,v2,3,100,Stable,recall,0.8958,0.8969,0.06521,0.00115,0.0
strat,v2,3,100,Harvest,recall,0.0764,0.073,0.05402,-0.00339,0.0
strat,v2,3,100,Development,recall,0.0917,0.1041,0.07165,0.01237,0.0
strat,v2,3,100,Insect/Disease,recall,0.0716,0.0894,0.12242,0.01785,0.0
strat,v2,3,100,Beaver,recall,0.3294,0.3683,0.12519,0.03891,0.0
strat,v2,3,100,Stable,precision,0.9867,0.9866,0.0075,-0.00011,0.0
strat,v2,3,100,Harvest,precision,0.0892,0.4592,0.3005,0.37003,0.0
strat,v2,3,100,Development,precision,0.0072,0.3441,0.32548,0.33686,0.01
strat,v2,3,100,Insect/Disease,precision,0.0113,0.1681,0.23881,0.15675,0.01
strat,v2,3,100,Beaver,precision,0.0019,0.008,0.02039,0.00611,0.0
strat,v2,3,100,Stable,f1,0.939,0.9383,0.03757,-0.0007,0.0
strat,v2,3,100,Harvest,f1,0.0823,0.1242,0.08288,0.04196,0.11
strat,v2,3,100,Development,f1,0.0134,0.1311,0.11123,0.11764,0.06
strat,v2,3,100,Insect/Disease,f1,0.0195,0.0798,0.09241,0.06026,0.14
