design,version,W,n,cls,census_corr,mean_corr,frac_undefined,mean_rmse,mean_bias
simple,v2,3,2000,Forest,0.7056,0.7062,0.0,0.3648,-0.0866
simple,v2,3,2000,Urban,0.6405,0.6353,0.0,0.1637,0.0264
simple,v2,3,2000,Water,0.9617,0.9607,0.0,0.0763,0.0013
simple,v2,3,2000,Agriculture,0.8371,0.837,0.0,0.1912,-0.0122
simple,v2,3,2000,Grass/Shrub,0.2507,0.2569,0.0,0.3087,0.0124
simple,v2,3,2000,Wetland,0.4248,0.4261,0.0,0.2773,-0.0327
simple,v2,3,2000,Beaver,0.0308,0.0343,0.09,0.2275,0.0675
simple,v2,3,2000,Insect/Disease,0.0291,0.0275,0.0,0.14,0.0185
strat,v2,3,2000,Harvest,0.0874,0.118,0.0,0.2946,-0.0638
strat,v2,3,2000,Development,0.0341,0.1816,0.0,0.2334,-0.0462
strat,v2,3,2000,Forest,0.7056,0.4926,0.0,0.3818,0.0868
strat,v2,3,2000,Urban,0.6405,0.6753,0.0,0.2517,0.0568
strat,v2,3,2000,Water,0.9617,0.9504,0.0,0.0933,-0.0012
strat,v2,3,2000,Agriculture,0.8371,0.7109,0.0,0.2368,0.0146
strat,v2,3,2000,Grass/Shrub,0.2507,0.29,0.0,0.302,-0.0224
strat,v2,3,2000,Wetland,0.4248,0.3606,0.0,0.3017,-0.0129
strat,v2,3,2000,Beaver,0.0308,0.3443,0.0,0.2645,0.0271
strat,v2,3,2000,Insect/Disease,0.0291,0.113,0.0,0.2326,-0.0386
simple,v2,3,5000,Harvest,0.0874,0.0882,0.0,0.125,-0.0015
simple,v2,3,5000,Development,0.0341,0.0264,0.0,0.0753,0.0071
simple,v2,3,5000,Forest,0.7056,0.7053,0.0,0.3654,-0.086
simple,v2,3,5000,Urban,0.6405,0.6356,0.0,0.1642,0.0266
simple,v2,3,5000,Water,0.9617,0.9611,0.0,0.0763,0.0009
simple,v2,3,5000,Agriculture,0.8371,0.8355,0.0,0.1927,-0.0125
simple,v2,3,5000,Grass/Shrub,0.2507,0.2485,0.0,0.3108,0.0117
simple,v2,3,5000,Wetland,0.4248,0.4238,0.0,0.2774,-0.0313
simple,v2,3,5000,Beaver,0.0308,0.0265,0.0,0.227,0.067
simple,v2,3,5000,Insect/Disease,0.0291,0.0326,0.0,0.139,0.0179
strat,v2,3,5000,Harvest,0.0874,0.1238,0.0,0.2945,-0.064
strat,v2,3,5000,Development,0.0341,0.1873,0.0,0.2322,-0.0462
strat,v2,3,5000,Forest,0.7056,0.4895,0.0,0.3832,0.0868
strat,v2,3,5000,Urban,0.6405,0.6744,0.0,0.2519,0.0563
strat,v2,3,5000,Water,0.9617,0.9502,0.0,0.0938,-0.0009
strat,v2,3,5000,Agriculture,0.8371,0.7091,0.0,0.2372,0.0145
strat,v2,3,5000,Grass/Shrub,0.2507,0.2875,0.0,0.3031,-0.022
strat,v2,3,5000,Wetland,0.4248,0.3579,0.0,0.3033,-0.0124
strat,v2,3,5000,Beaver,0.0308,0.344,0.0,0.2639,0.0263
strat,v2,3,5000,Insect/Disease,0.0291,0.1185,0.0,0.2326,-0.0382
simple,v2,5,20,Harvest,0.0918,0.1442,0.83,0.0771,0.0002
simple,v2,5,20,Development,0.0402,-0.0371,0.93,0.0417,0.0085
simple,v2,5,20,Forest,0.729,0.7314,0.0,0.3226,-0.0852
simple,v2,5,20,Urban,0.6885,0.7341,0.13,0.1229,0.0257
simple,v2,5,20,Water,0.9695,0.9598,0.1,0.0429,0.0041
simple,v2,5,20,Agriculture,0.8622,0.8375,0.0,0.1629,-0.0158
simple,v2,5,20,Grass/Shrub,0.2685,0.2884,0.03,0.2469,0.0131
simple,v2,5,20,Wetland,0.4548,0.4391,0.03,0.2391,-0.0373
simple,v2,5,20,Beaver,0.0357,0.2627,0.95,0.1832,0.0665
simple,v2,5,20,Insect/Disease,0.033,0.2314,0.82,0.094,0.0202
