design,version,W,n,metric,census,mean,sd,bias,lo,hi
simple,v2,3,5000,A_macrof1,0.3817,0.4072,0.02744,0.02556,0.3738,0.4762
simple,v2,3,5000,B_oa,0.6911,0.6902,0.00579,-0.00087,0.6806,0.7021
simple,v2,3,5000,C_oa,0.6766,0.6756,0.00582,-0.00099,0.6642,0.6878
simple,v2,3,5000,A_oa_wtd,0.6634,0.6627,0.00537,-0.00065,0.6513,0.6729
simple,v2,3,5000,A_macrof1_wtd,0.3817,0.4072,0.02744,0.02556,0.3738,0.4762
simple,v2,3,5000,C_frac_majority,,0.984,0.00179,,,
strat,v2,3,5000,A_oa,0.6634,0.4762,0.00391,-0.18717,0.4681,0.4826
strat,v2,3,5000,A_kappa,0.5375,0.4038,0.00445,-0.13374,0.3949,0.4111
strat,v2,3,5000,A_macrof1,0.3817,0.4026,0.0043,0.02092,0.3958,0.4103
strat,v2,3,5000,B_oa,0.6911,0.6924,0.01064,0.00133,0.6716,0.7107
strat,v2,3,5000,C_oa,0.6766,0.6775,0.0102,0.00089,0.6582,0.6966
strat,v2,3,5000,A_oa_wtd,0.6634,0.6643,0.00914,0.00099,0.6464,0.6806
strat,v2,3,5000,A_macrof1_wtd,0.3817,0.3818,0.00489,0.00015,0.3724,0.3909
strat,v2,3,5000,C_frac_majority,,0.9777,0.00205,,,
simple,v2,5,20,A_oa,0.6634,0.667,0.0833,0.00355,0.514,0.85
simple,v2,5,20,A_kappa,0.5376,0.5337,0.10924,-0.00385,0.3521,0.7828
simple,v2,5,20,A_macrof1,0.3816,0.6246,0.09461,0.24297,0.4544,0.8426
simple,v2,5,20,B_oa,0.7103,0.71,0.09718,-0.00027,0.55,0.9
simple,v2,5,20,C_oa,0.6851,0.683,0.10402,-0.00208,0.5238,0.9
simple,v2,5,20,A_oa_wtd,0.6634,0.667,0.0833,0.00355,0.514,0.85
simple,v2,5,20,A_macrof1_wtd,0.3816,0.6246,0.09461,0.24297,0.4544,0.8426
simple,v2,5,20,C_frac_majority,,0.9595,0.04644,,,
strat,v2,5,20,A_oa,0.6634,0.4883,0.06517,-0.17514,0.3696,0.6095
strat,v2,5,20,A_kappa,0.5376,0.4082,0.07285,-0.12933,0.2804,0.5499
strat,v2,5,20,A_macrof1,0.3816,0.5161,0.07387,0.13442,0.3606,0.6677
strat,v2,5,20,B_oa,0.7103,0.7121,0.16494,0.00186,0.3884,0.9395
strat,v2,5,20,C_oa,0.6851,0.6866,0.16997,0.00148,0.3406,0.9338
strat,v2,5,20,A_oa_wtd,0.6634,0.662,0.13333,-0.00139,0.4018,0.8757
strat,v2,5,20,A_macrof1_wtd,0.3816,0.5347,0.09756,0.15305,0.3662,0.7382
strat,v2,5,20,C_frac_majority,,0.9565,0.04696,,,
simple,v2,5,50,A_oa,0.6634,0.6643,0.0535,0.00085,0.5599,0.777
simple,v2,5,50,A_kappa,0.5376,0.5351,0.06463,-0.00244,0.424,0.6685
simple,v2,5,50,A_macrof1,0.3816,0.5924,0.0591,0.21079,0.4984,0.7277
simple,v2,5,50,B_oa,0.7103,0.7132,0.06477,0.00293,0.5895,0.8305
simple,v2,5,50,C_oa,0.6851,0.6876,0.06857,0.00252,0.5495,0.8105
simple,v2,5,50,A_oa_wtd,0.6634,0.6643,0.0535,0.00085,0.5599,0.777
simple,v2,5,50,A_macrof1_wtd,0.3816,0.5924,0.0591,0.21079,0.4984,0.7277
simple,v2,5,50,C_frac_majority,,0.9602,0.02628,,,
strat,v2,5,50,A_oa,0.6634,0.4945,0.04233,-0.16893,0.4085,0.5726
strat,v2,5,50,A_kappa,0.5376,0.4169,0.04614,-0.12061,0.3245,0.4979
strat,v2,5,50,A_macrof1,0.3816,0.4663,0.05121,0.0847,0.3678,0.5643
strat,v2,5,50,B_oa,0.7103,0.7171,0.10152,0.00684,0.553,0.9012
strat,v2,5,50,C_oa,0.6851,0.6922,0.10753,0.00715,0.5037,0.8966
strat,v2,5,50,A_oa_wtd,0.6634,0.6619,0.08697,-0.00152,0.5194,0.8342
strat,v2,5,50,A_macrof1_wtd,0.3816,0.4587,0.05931,0.07709,0.3529,0.5747
strat,v2,5,50,C_frac_majority,,0.9554,0.03202,,,
