design,version,W,n,cls,metric,census,mean,sd,bias,frac_undefined
strat,v2,1,200,Insect/Disease,precision,0.0113,0.0903,0.23138,0.07896,0.03
strat,v2,1,200,Harvest,f1,0.082,0.1208,0.07679,0.03876,0.26
strat,v2,1,200,Development,f1,0.0135,0.0474,0.07914,0.0339,0.13
strat,v2,1,200,Forest,f1,0.7999,0.7963,0.06581,-0.00359,0.0
strat,v2,1,200,Urban,f1,0.4859,0.5232,0.11025,0.03729,0.0
strat,v2,1,200,Water,f1,0.9406,0.9306,0.05063,-0.01001,0.0
strat,v2,1,200,Agriculture,f1,0.7991,0.8001,0.06137,0.00094,0.0
strat,v2,1,200,Grass/Shrub,f1,0.2714,0.2806,0.09607,0.00924,0.0
strat,v2,1,200,Wetland,f1,0.3949,0.3822,0.10386,-0.01268,0.0
strat,v2,1,200,Beaver,f1,0.0038,0.0055,0.00539,0.00167,0.0
strat,v2,1,200,Insect/Disease,f1,0.0195,0.0526,0.0593,0.03307,0.3
simple,v2,1,500,Harvest,recall,0.0762,0.075,0.14182,-0.00119,0.0
simple,v2,1,500,Development,recall,0.0914,0.0833,0.28233,-0.00804,0.76
simple,v2,1,500,Forest,recall,0.7335,0.7312,0.02575,-0.00229,0.0
simple,v2,1,500,Urban,recall,0.6797,0.6554,0.12819,-0.02432,0.0
simple,v2,1,500,Water,recall,0.9464,0.9438,0.03574,-0.00258,0.0
simple,v2,1,500,Agriculture,recall,0.7667,0.7601,0.05256,-0.00655,0.0
simple,v2,1,500,Grass/Shrub,recall,0.2905,0.2928,0.06912,0.0023,0.0
simple,v2,1,500,Wetland,recall,0.3386,0.3419,0.07041,0.00329,0.0
simple,v2,1,500,Beaver,recall,0.3293,0.3235,0.46574,-0.00573,0.83
simple,v2,1,500,Insect/Disease,recall,0.0713,0.0878,0.18879,0.01643,0.25
simple,v2,1,500,Harvest,precision,0.0888,0.1023,0.18714,0.01349,0.0
simple,v2,1,500,Development,precision,0.0073,0.0067,0.05281,-0.00053,0.01
simple,v2,1,500,Forest,precision,0.8795,0.875,0.02096,-0.00448,0.0
simple,v2,1,500,Urban,precision,0.3781,0.3672,0.09093,-0.01093,0.0
simple,v2,1,500,Water,precision,0.9349,0.9344,0.03929,-0.00051,0.0
simple,v2,1,500,Agriculture,precision,0.8345,0.8338,0.04652,-0.00062,0.0
simple,v2,1,500,Grass/Shrub,precision,0.2546,0.2653,0.06295,0.01069,0.0
simple,v2,1,500,Wetland,precision,0.4735,0.4685,0.08289,-0.00504,0.0
simple,v2,1,500,Beaver,precision,0.0019,0.002,0.00797,6e-05,0.0
simple,v2,1,500,Insect/Disease,precision,0.0113,0.0135,0.03186,0.00219,0.0
simple,v2,1,500,Harvest,f1,0.082,0.2192,0.09183,0.13714,0.66
simple,v2,1,500,Development,f1,0.0135,0.4762,0.26937,0.46273,0.98
simple,v2,1,500,Forest,f1,0.7999,0.7964,0.01897,-0.00351,0.0
simple,v2,1,500,Urban,f1,0.4859,0.4646,0.0944,-0.02132,0.0
simple,v2,1,500,Water,f1,0.9406,0.9385,0.02928,-0.00214,0.0
simple,v2,1,500,Agriculture,f1,0.7991,0.7941,0.03955,-0.00508,0.0
simple,v2,1,500,Grass/Shrub,f1,0.2714,0.277,0.06266,0.00565,0.0
simple,v2,1,500,Wetland,f1,0.3949,0.3929,0.07051,-0.00196,0.0
simple,v2,1,500,Beaver,f1,0.0038,0.0632,0.01256,0.05941,0.94
simple,v2,1,500,Insect/Disease,f1,0.0195,0.1362,0.02467,0.11673,0.84
strat,v2,1,500,Harvest,recall,0.0762,0.0784,0.04184,0.00218,0.0
strat,v2,1,500,Development,recall,0.0914,0.0928,0.04297,0.00142,0.0
strat,v2,1,500,Forest,recall,0.7335,0.7376,0.06039,0.00409,0.0
strat,v2,1,500,Urban,recall,0.6797,0.681,0.06596,0.00126,0.0
strat,v2,1,500,Water,recall,0.9464,0.9474,0.03212,0.00101,0.0
strat,v2,1,500,Agriculture,recall,0.7667,0.7644,0.05994,-0.00227,0.0
strat,v2,1,500,Grass/Shrub,recall,0.2905,0.2958,0.06571,0.00528,0.0
strat,v2,1,500,Wetland,recall,0.3386,0.3482,0.0674,0.00958,0.0
strat,v2,1,500,Beaver,recall,0.3293,0.3318,0.06588,0.00254,0.0
strat,v2,1,500,Insect/Disease,recall,0.0713,0.0698,0.0383,-0.00154,0.0
strat,v2,1,500,Harvest,precision,0.0888,0.2139,0.23117,0.12507,0.0
strat,v2,1,500,Development,precision,0.0073,0.0256,0.10617,0.01837,0.0
strat,v2,1,500,Forest,precision,0.8795,0.8797,0.02058,0.00014,0.0
strat,v2,1,500,Urban,precision,0.3781,0.386,0.06831,0.0079,0.0
strat,v2,1,500,Water,precision,0.9349,0.9347,0.04657,-0.00017,0.0
strat,v2,1,500,Agriculture,precision,0.8345,0.8381,0.03802,0.00358,0.0
strat,v2,1,500,Grass/Shrub,precision,0.2546,0.2751,0.07098,0.02045,0.0
strat,v2,1,500,Wetland,precision,0.4735,0.5085,0.10393,0.03498,0.0
strat,v2,1,500,Beaver,precision,0.0019,0.0021,0.00087,0.00017,0.0
strat,v2,1,500,Insect/Disease,precision,0.0113,0.0239,0.05132,0.01262,0.0
strat,v2,1,500,Harvest,f1,0.082,0.0978,0.06131,0.01579,0.01
strat,v2,1,500,Development,f1,0.0135,0.0244,0.03847,0.0109,0.01
strat,v2,1,500,Forest,f1,0.7999,0.8012,0.03997,0.00134,0.0
strat,v2,1,500,Urban,f1,0.4859,0.4899,0.06479,0.00397,0.0
strat,v2,1,500,Water,f1,0.9406,0.9404,0.03234,-0.00023,0.0
strat,v2,1,500,Agriculture,f1,0.7991,0.7982,0.03951,-0.00097,0.0
strat,v2,1,500,Grass/Shrub,f1,0.2714,0.2817,0.06141,0.01035,0.0
strat,v2,1,500,Wetland,f1,0.3949,0.41,0.07303,0.01512,0.0
strat,v2,1,500,Beaver,f1,0.0038,0.0041,0.00172,0.00033,0.0
strat,v2,1,500,Insect/Disease,f1,0.0195,0.0265,0.02167,0.00704,0.01
simple,v2,1,1000,Harvest,recall,0.0762,0.0771,0.07954,0.00086,0.0
simple,v2,1,1000,Development,recall,0.0914,0.0612,0.24223,-0.03015,0.51
simple,v2,1,1000,Forest,recall,0.7335,0.734,0.01783,0.00046,0.0
simple,v2,1,1000,Urban,recall,0.6797,0.6928,0.08026,0.01305,0.0
simple,v2,1,1000,Water,recall,0.9464,0.9451,0.02745,-0.00129,0.0
simple,v2,1,1000,Agriculture,recall,0.7667,0.7672,0.0344,0.00056,0.0
simple,v2,1,1000,Grass/Shrub,recall,0.2905,0.2944,0.04905,0.00386,0.0
simple,v2,1,1000,Wetland,recall,0.3386,0.3409,0.04334,0.00229,0.0
simple,v2,1,1000,Beaver,recall,0.3293,0.4423,0.49653,0.11305,0.74
simple,v2,1,1000,Insect/Disease,recall,0.0713,0.0939,0.17562,0.02259,0.03
simple,v2,1,1000,Harvest,precision,0.0888,0.0917,0.10256,0.00291,0.0
simple,v2,1,1000,Development,precision,0.0073,0.0028,0.01648,-0.00447,0.0
simple,v2,1,1000,Forest,precision,0.8795,0.8774,0.01772,-0.00211,0.0
simple,v2,1,1000,Urban,precision,0.3781,0.3862,0.06644,0.00807,0.0
simple,v2,1,1000,Water,precision,0.9349,0.9354,0.02834,0.00051,0.0
simple,v2,1,1000,Agriculture,precision,0.8345,0.8327,0.02719,-0.00173,0.0
simple,v2,1,1000,Grass/Shrub,precision,0.2546,0.2615,0.0395,0.00689,0.0
simple,v2,1,1000,Wetland,precision,0.4735,0.48,0.06196,0.00648,0.0
simple,v2,1,1000,Beaver,precision,0.0019,0.0018,0.00486,-0.00014,0.0
simple,v2,1,1000,Insect/Disease,precision,0.0113,0.0143,0.02303,0.00296,0.0
simple,v2,1,1000,Harvest,f1,0.082,0.1323,0.06062,0.05021,0.4
simple,v2,1,1000,Development,f1,0.0135,0.1698,0.04654,0.15634,0.97
simple,v2,1,1000,Forest,f1,0.7999,0.7992,0.01424,-0.00075,0.0
simple,v2,1,1000,Urban,f1,0.4859,0.4929,0.06712,0.00703,0.0
simple,v2,1,1000,Water,f1,0.9406,0.9397,0.01778,-0.00088,0.0
simple,v2,1,1000,Agriculture,f1,0.7991,0.798,0.02249,-0.00111,0.0
simple,v2,1,1000,Grass/Shrub,f1,0.2714,0.2761,0.0407,0.00468,0.0
simple,v2,1,1000,Wetland,f1,0.3949,0.3975,0.04595,0.00262,0.0
