design,version,W,n,cls,frac_absent
simple,v2,5,2000,Agriculture,0.0
simple,v2,5,2000,Grass/Shrub,0.0
simple,v2,5,2000,Wetland,0.0
simple,v2,5,2000,Beaver,0.0
simple,v2,5,2000,Insect/Disease,0.0
strat,v2,5,2000,Harvest,0.0
strat,v2,5,2000,Development,0.0
strat,v2,5,2000,Forest,0.0
strat,v2,5,2000,Urban,0.0
strat,v2,5,2000,Water,0.0
strat,v2,5,2000,Agriculture,0.0
strat,v2,5,2000,Grass/Shrub,0.0
strat,v2,5,2000,Wetland,0.0
strat,v2,5,2000,Beaver,0.0
strat,v2,5,2000,Insect/Disease,0.0
simple,v2,5,5000,Harvest,0.0
simple,v2,5,5000,Development,0.0
simple,v2,5,5000,Forest,0.0
simple,v2,5,5000,Urban,0.0
simple,v2,5,5000,Water,0.0
simple,v2,5,5000,Agriculture,0.0
simple,v2,5,5000,Grass/Shrub,0.0
